Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1950,10,9.5,13.6,18.8,24,25.4,31,30.4,28.6,20.4,15.9,11.2
1951,8.6,9.7,14.2,18.3,23.3,25.9,28.3,31.6,24.7,21.7,16.8,13.4
1952,9.7,6.8,12.1,18.3,23.2,25.5,28.2,31.4,26.9,21.8,16.5,10.6
1953,8.7,9.7,14.6,17.6,22.3,24.6,28.3,28.9,26.1,21.7,15.7,12.1
1954,8.6,11.6,13.1,19.4,21.8,21.6,25.7,31,28.5,19.7,16.5,11.9
1955,9.6,12.1,12.7,17.9,22.5,26.8,31.8,30.2,26.4,21.8,16.4,13.8
1956,9.8,9.8,13.4,17.9,21.8,26.1,28.1,29.7,26.8,20.8,16.1,11
1957,11,8.7,12.4,18.7,21.3,23.4,27.8,31.2,24.4,21.7,17.7,12.8
1958,10.1,11.1,13.5,18.6,23,26.4,28.9,29.7,27.3,19.7,15.4,13.3
1959,8.9,12,13.6,20.2,23.2,24.4,29.9,30.7,28.2,21.9,16.7,12.3
1960,10.6,12.7,14.6,17.2,22.3,25.3,29.8,30.4,27.8,21.1,16.5,12.4
1961,8.9,10.2,13.4,20.1,24.2,26.8,31.9,31.2,29.8,21.8,17.8,12.7
1962,9.8,11.7,13.7,19.2,22.9,24.7,28.8,32.9,29.2,20.9,15.4,12.3
1963,9.3,10.3,12.6,19.1,22.7,25.9,30.1,30.9,25.3,20.4,16.7,13.1
1964,9.7,8.3,12.7,19.5,23.9,25.3,29.6,32.2,25.9,19.6,15.6,11.6
1965,8.7,9.2,11.5,15.6,21.2,25.4,27.3,30.8,25.7,21.1,17.1,11.1
1966,9.3,11.6,13.7,17.7,22.3,23.8,27.9,30.5,26.5,22.7,17.1,10.7
1967,8.8,8.9,14,18.7,24.7,27,30,32,26.1,20.7,15.6,11
1968,10.5,8.8,14.1,18.7,21.6,26.2,28,30.2,25.7,19.8,18.7,13.8
1969,10,9.3,12,19.2,23.9,26,28.7,31.4,26.9,21,16.8,11.7
1970,8.9,10.3,10,17.3,23.8,24.1,29.1,31.7,27.6,21.2,16.5,11.1
1971,9.2,9.8,12.9,17.7,21.6,24.8,29.5,30.6,24.4,18.9,16,12
1972,10.7,8.3,13.9,17.4,22.7,25,28.8,30.7,27.2,22.3,16.4,12.1
1973,10.3,11.4,12.4,19.8,22.1,23.2,30.2,32.7,26.7,21.4,16.9,11.5
1974,8.9,9.3,11.7,19.3,23.7,25.5,26.9,31.1,26.1,21.1,15.7,10.6
1975,8.8,9.3,12.3,18.4,22.7,25,29.4,31.5,29.6,20.5,16.3,10.7
1976,10.6,10.7,13.1,16.7,21.9,25,27.6,29.1,25.7,21.3,15,11.5
1977,7.5,9.4,13.3,19.5,23,24,29.8,28.4,27.7,22.6,18.4,13.3
1978,9.7,8.4,13.1,17.8,22.7,27.5,31.5,33,25.3,21.1,16.5,12.8
1979,10.9,12.5,13.8,17.7,22.5,27.9,28.5,31,27.3,23,17.6,13.9
1980,10,9.2,12,17.6,23.4,27,27.4,26.6,26.1,21.9,16.8,11.9
1981,8.5,9.2,13,18,21.4,23.6,30,30,25.2,21.1,13.9,11.7
1982,9.7,9.3,14,17.8,24.7,24.9,26.1,30.2,25.6,21.6,17.6,13
1983,10.2,10.2,12.1,20.3,23.7,24.2,27.1,31,26.1,21.2,16.3,11.1
1984,7.5,6.3,10.2,16,21.2,24.9,30,32.4,27.1,21.2,15.9,11.5
1985,8.1,10.2,11.2,18.3,23,23.1,30.2,31.6,26.1,21.5,17.1,11.4
1986,8.2,7.9,11.8,18,21.6,24.4,27.2,30.4,26.8,20.5,15.6,12.2
1987,10,10.7,13.2,18.4,23.1,25.7,30.6,30.8,26.3,22.2,16.2,12.4
1988,11.7,8.9,11.9,18.1,22.1,25.5,25.2,30.2,25.2,20.8,15.6,12.5
1989,11.4,11.1,13.6,19.6,21.5,23.8,27.4,30.5,28.4,20.7,17.7,12.8
1990,8.8,10.5,14.4,18.6,23.1,27,29.2,32.4,28.1,22.4,19,13.6
1991,10.1,10.5,13.1,18.8,22.7,26.9,30.1,29.1,26.9,20.7,16.4,12.7
1992,10.5,10.8,13.1,19.1,21.1,23.7,29.2,30.4,26.9,20.5,16.9,12.9
1993,9.1,11.8,12.5,17.8,22.3,25,25.3,28,25.8,20.8,17.7,12.3
1994,9.1,10.6,11.6,19.8,23.4,26,31.8,32.9,28.1,23,17.1,12.8
1995,10.2,10.1,13,19.1,22.7,23.5,29.6,33.7,27.4,23,16.7,12.1
1996,10.4,9.4,13.1,17,22,26.4,30,30,26.3,21.7,16.7,13.6
1997,11.3,11.2,14.7,19.2,23.2,26.6,30.7,30.7,26.4,22.8,18.1,12.4
1998,9.3,11.3,14.4,20.1,24.6,24.6,29,31,27.7,23.5,17.7,12.6
1999,10.8,11.2,13.7,18.7,24,26.5,29.9,32.3,29.6,23,17.8,12.7
2000,11.2,9.9,13.5,18.7,24,26.1,31.6,32.4,28.9,21.9,16.7,12.6
2001,8.6,10.7,14.4,20.4,23,26.6,33,30,26.4,22.5,16.7,12
2002,11.5,11.9,16.5,20.3,22.3,25.3,31.7,32.1,26.2,22.6,15.2,10.4
2003,9.3,9.9,12.7,19.2,22.4,26.6,26,29.5,28.1,21.4,17.4,13.2
2004,10.1,12.9,14,21.3,23.7,27.5,33.1,31,28.7,20.7,19,13.4
2005,10,9.9,13.1,19.6,21.9,26.7,29.1,31.8,28.2,22.3,17,10.2
2006,8.5,10.5,14,17.5,22.7,25.4,28.6,31.1,27.1,22.9,17.9,12.5
2007,10.9,12.8,15,17.9,24,27.1,27.4,33,28.5,22.2,16.6,12.6
2008,9.4,9.6,14.9,18.4,22,24.6,30.9,30.7,27.7,22.6,16.4,13.7
2009,10.2,11.5,13.7,20.2,23.6,25.8,29.3,30.1,26.5,22.3,17,12.4
2010,11,9.9,13.2,16.6,23,27.5,31.6,33.5,29,21.8,17.2,13.7
2011,9.1,11.2,12.3,18.9,22.2,26,30.9,31.2,28.8,23,18.3,11.1
2012,8.3,9.1,12.5,18.5,23.6,24.8,30.1,33.1,29.8,23,16.3,11.2
2013,9.6,10.3,16.4,19.2,24.1,26.5,31.4,33.2,28.8,23,17.4,12.1
2014,10.6,9.8,14.5,19.6,24.7,26.9,30.5,31.2,26.9,23,17.4,11
2015,10.4,10.4,15.5,19.3,26.4,26.4,30.1,30.5,26.4,22.7,17.8,13.4
2016,10.6,12.2,14.9,20.3,25.2,26.3,29.7,31.6,27.7,22.6,15.5,13.8
2017,10.8,12.1,13.4,19.9,25.1,26.4,31.8,30.4,26.8,20.1,16.6,11.1
2018,9.4,10.1,16.9,22.1,24.6,26.6,32.7,32.5,26.6,23,17.7,12.1
2019,10.3,11.6,15.4,19.0 ),,,,,,,,
